かるた文
ありさん あいさつ あさがきた
いぬさん いそいで いってきます
うさぎが うきうき うた うたう
えほんを えらんで えきに いく
おはなが おおきく おめみえ したよ
かえるさん かさを もって かえりましょ
きりんさん きの したで きぶん すっきり
くまさん くるくる くるくる くるまで くるよ
けむしさん けんけんけんで けっとばす
こねこが ころころ ころころ ころがった
さるさん さくらのしたで おさんぽだ
しまうま しくしく だいしっぱい
すずめさん すいかと すしが だいすきだ
おせんたく せみさん せなかを せっせと かわかす
そらまめさん そろそろ そだった そらの した
たぬきさん たのしく たいそう たったらたー
ちくりと ちいさく ちが にじむ
つくえの うえで つるつる つるつる つきみそば
てんとうむし てくてく あるく てんぼうだい
とりさんが とけいの ところで とまってる
なかよしが なわとび ななかい ならいましょ
にちようび にこにこ にっこり にわとり わらう
ぬいぐるみと ぬりぬり ぬろう ぬりえぬり
ねこさん ねぼけて ねながら ねんどを こねる
のはらで のんびり のりのり のうさぎだんす
はかせが はだかで はみがき はっくしょん
ひよこが ひなたで ひりひり ひやけした
ふうせん ふわふわ ふたつ ふくらむ ふうふうふう
へびさんが へんてこ へんしん へんなかお
ほたるさん ほしを みつけて ほくほく ほほえむ
まあ たいへん まほうつかいの まあるい ますく
みつばちが みつけた みずうみ みんなで いこう！
むらさき むしさん むこうで むにゃむにゃ むりむり いねむり
めしあがれ めがねを かけて めんたいこ
もちつき もっと もういっかい
やきすぎた やきいも やっぱり やや こげた
ゆきだるま ゆっくり ゆったり ゆめのなか
よくよく みたら ようふく よごれた よわったな
らいおんが らくだに のったら らくだった
りすさん おりこう べんりな りもこん りようする
るんるんるん るすばん できるよ がんばるよ
れたすと れもん れすとらんまで れっつ ごー
ろぼっとが ろうかで ろうそく ろっぽん ふきけす
わにと わたし おみこし わっしょい わらってる
えを かく てを ふる ほんを よむ
ごはん あんぱん じゃんけんぽん
がっこうで がらがら うがい がちょうさん
ぎんいろ ぎたーを りちぎに ひくよ ぎんぎつね
ぐるぐると ぐみを まぜたら ぐーんと ふえた
げんきよく げらげら わらう げつようび
ごりらさん ごましおぱんを ごくりんちょ
ざぶざぶ ざぶーんと ざりがに でてきて ざわざわ さわぎ
じーっとね じかんを まってた じんべいざめ
ずぶずぶずぶ ずぶぬれ ずぼんで ずるっと ずっこけた
ぜんぶみて ぜったい みつける ぜんぶの ぜりー
ぞうさんと ぞろぞろ あるく ぞっこん ぞくぞく
だるまさん だいこん だっこで だいうんどうかい
はなぢが でちゃうぞ ちぢめたい ちぢめたい ばかぢから
つづけて かたづけ みかづきさんから こづつみ とどく
でんしゃで でんわ でんきが きえた でも だいじょうぶ
どらやき どんどん どんなもんだと どやがおに
ばあちゃん ばくばく ばななを たべて ばすりょこう
びくびく びっくり びんの なかに びーだまが
ぶたさん ぶるぶる こわごわ ぶらんこに のる
べんとうを べんちで こぼして べそかいた あー べったべた
ぼーっと してたら ぼうしが とんで ぼく おおあわて
ぱんださん ぱじゃまで ぱんを ぱくぱく たべた
ぴんくの ぴあの ぴえろが ひいた ぴろぴろぴろーん
ぷれぜんと ぷーるに うかんで ぷっかぷか
ぺんぎんさん ぺろっと ぺろり ぺぺろんちーの
ぽけっとの ぽっぷこーん たべたら おなか ぽんぽこぽん
